code,system
1254,gprdproduct
41593,gprdproduct
34706,gprdproduct
34563,gprdproduct
34676,gprdproduct
34507,gprdproduct
41559,gprdproduct
2219,gprdproduct
41558,gprdproduct
5636,gprdproduct
34802,gprdproduct
547,gprdproduct
29326,gprdproduct
26218,gprdproduct
16602,gprdproduct
1253,gprdproduct
1847,gprdproduct
4862,gprdproduct
21832,gprdproduct
46927,gprdproduct
33673,gprdproduct
1965,gprdproduct
34957,gprdproduct
13331,gprdproduct
8976,gprdproduct
57601,gprdproduct
7744,gprdproduct
7912,gprdproduct
6337,gprdproduct
5316,gprdproduct
40365,gprdproduct
61311,gprdproduct
5276,gprdproduct
5353,gprdproduct
62014,gprdproduct
15374,gprdproduct
58882,gprdproduct
21424,gprdproduct
47074,gprdproduct
21489,gprdproduct
22145,gprdproduct
34399,gprdproduct
21564,gprdproduct
54764,gprdproduct
48056,gprdproduct
29939,gprdproduct
60495,gprdproduct
55862,gprdproduct
36856,gprdproduct
17343,gprdproduct
51955,gprdproduct
32,gprdproduct
42790,gprdproduct
31212,gprdproduct
61957,gprdproduct
56008,gprdproduct
45215,gprdproduct
43065,gprdproduct
34932,gprdproduct
56437,gprdproduct
53288,gprdproduct
5627,gprdproduct
57830,gprdproduct
33562,gprdproduct
43465,gprdproduct
44738,gprdproduct
12245,gprdproduct
62034,gprdproduct
45831,gprdproduct
48120,gprdproduct
12259,gprdproduct
44473,gprdproduct
12513,gprdproduct
21892,gprdproduct
11946,gprdproduct
27969,gprdproduct
7284,gprdproduct
7332,gprdproduct
7409,gprdproduct
11284,gprdproduct
22858,gprdproduct
12455,gprdproduct
26118,gprdproduct
24848,gprdproduct
44304,gprdproduct
28708,gprdproduct
30460,gprdproduct
31474,gprdproduct
25636,gprdproduct
11695,gprdproduct
1964,gprdproduct
8168,gprdproduct
8034,gprdproduct
40425,gprdproduct
47894,gprdproduct
17706,gprdproduct
17698,gprdproduct
19336,gprdproduct
10427,gprdproduct
37617,gprdproduct
56376,gprdproduct
